num,date,color1,difficulty1,connection1,word11,word12,word13,word14,color2,difficulty2,connection2,word21,word22,word23,word24,color3,difficulty3,connection3,word31,word32,word33,word34,color4,difficulty4,connection4,word41,word42,word43,word44
19,2023 Jun 30,YELLOW,1,OFF-WHITE SHADES,CREAM,EGGSHELL,IVORY,VANILLA,GREEN,2,ANTI-VAMPIRE,CRUCIFIX,GARLIC,MIRROR,STAKE,BLUE,3,KINDS OF MEAT,BEEF,PORK,POULTRY,VENISON,PURPLE,4,SYNONYMS FOR ARGUMENT,ROW,QUARREL,SPAT,TIFF
20,2023 Jul 1,YELLOW,1,GRAINS,BARLEY,OAT,RYE,SPELT,GREEN,2,ROYAL TITLES,BARON,EARL,KING,PRINCE,BLUE,3,UNIVERSITIES,BROWN,DUKE,HOWARD,RICE,PURPLE,4,BEST DIRECTOR OSCAR WINNERS,BONG,FORD,LEE,STONE
21,2023 Jul 2,YELLOW,1,MUSIC GENRES,JAZZ,POP,PUNK,RAP,GREEN,2,WEB BROWSERS,CHROME,EDGE,OPERA,SAFARI,BLUE,3,LITTLE WOMEN SISTERS,AMY,BETH,JO,MEG,PURPLE,4,LIL ___ RAPPERS,BABY,JON,KIM,WAYNE
22,2023 Jul 3,YELLOW,1,DOG BREEDS,BOXER,DALMATIAN,HUSKY,POODLE,GREEN,2,ANIMAL NOSES,BEAK,MUZZLE,SNOUT,TRUNK,BLUE,3,TRAFFIC SIGNS,DETOUR,SLOW,STOP,YIELD,PURPLE,4,SOUND ___,ASLEEP,BARRIER,BITE,WAVE
23,2023 Jul 4,YELLOW,1,60's BAND MEMBERS,BEACH BOY,BEATLE,BYRD,MONKEE,GREEN,2,DANCE FADS,DOUGIE,MACARENA,MASHED POTATO,TWIST,BLUE,3,MAGAZINES,FORTUNE,ROLLING STONE,VOGUE,WIRED,PURPLE,4,THINGS WITH LINKS,CHAIN,GOLF COURSE,SAUSAGE,WEBSITE
24,2023 Jul 5,YELLOW,1,CANDY BARS,BOUNTY,CRUNCH,HEATH,MILKY WAY,GREEN,2,VIDEO GAME CONSOLES,DREAMCAST,GENESIS,SWITCH,WII,BLUE,3,EAR PARTS,ANVIL,COCHLEA,HAMMER,STIRRUP,PURPLE,4,BAND NAMES MINUS NUMBERS,BLINK,MAROON,SUM,U
25,2023 Jul 6,YELLOW,1,DESSERTS,CHEESECAKE,FLAN,MOUSSE,TIRAMISU,GREEN,2,MILD OATHS,DARN,FUDGE,HECK,SHOOT,BLUE,3,ANIMALS WITH TUSKS,ELEPHANT,HIPPO,NARWHAL,WARTHOG,PURPLE,4,MUSTACHES,HANDLEBAR,HORSESHOE,PENCIL,WALRUS
26,2023 Jul 7,YELLOW,1,EUROPEAN COUNTRIES,DENMARK,GREECE,POLAND,PORTUGAL,GREEN,2,SYNONYMS FOR IMITATE,COPY,ECHO,MIMIC,PARROT,BLUE,3,TOMS,CRUISE,HOLLAND,PETTY,WAITS,PURPLE,4,WORDS SPELLED WITH ROMAN NUMERALS,DILL,LIVID,MILD,MIX
27,2023 Jul 8,YELLOW,1,HATS,BERET,BOWLER,FEDORA,FEZ,GREEN,2,ORGANS,HEART,KIDNEY,LIVER,LUNG,BLUE,3,PARTS OF A BOOK,COVER,JACKET,PAGE,SPINE,PURPLE,4,JACK ___,ASS,KNIFE,POT,RABBIT
28,2023 Jul 9,YELLOW,1,SEVEN DWARFS,BASHFUL,DOC,GRUMPY,HAPPY,GREEN,2,FILE EXTENSIONS,GIF,PDF,TIFF,ZIP,BLUE,3,FLIGHTLESS BIRDS,EMU,KIWI,OSTRICH,PENGUIN,PURPLE,4,TROPICAL FRUITS,BANANA,COCONUT,MANGO,PINEAPPLE
29,2023 Jul 10,YELLOW,1,WINGED INSECTS,FLY,GNAT,MOTH,WASP,GREEN,2,ARITHMETIC OPERATIONS,ADD,DIVIDE,MULTIPLY,SUBTRACT,BLUE,3,FISH,TANG,TETRA,SKATE,SOLE,PURPLE,4,___ CAT,ALLEY,COOL,COPY,LAP
30,2023 Jul 11,YELLOW,1,NFL PLAYERS,BRONCO,COWBOY,PACKER,RAVEN,GREEN,2,PASTA SHAPES,BOWTIE,ELBOW,SHELL,SPIRAL,BLUE,3,JOINTS,HIP,KNEE,SHOULDER,WRIST,PURPLE,4,MOVIES WITH "!",AIRPLANE,MOTHER,OKLAHOMA,THEM
31,2023 Jul 12,YELLOW,1,VEGETABLES THAT ARE ALSO FRUITS,CUCUMBER,EGGPLANT,PEPPER,TOMATO,GREEN,2,3-D SHAPES,CONE,CUBE,PYRAMID,SPHERE,BLUE,3,WORDS WITH "i",MAC,PAD,PHONE,POD,PURPLE,4,WORDS WITH TWO PRONUNCIATIONS,JOB,LIMA,MOBILE,POLISH
32,2023 Jul 13,YELLOW,1,SHOE PARTS,HEEL,LACE,SOLE,TONGUE,GREEN,2,BOARD GAMES,CLUE,RISK,SORRY,TROUBLE,BLUE,3,FICTIONAL SPIES,BOND,HUNT,RYAN,SMART,PURPLE,4,RUBBER ___,BAND,CEMENT,DUCKIE,SOUL
33,2023 Jul 14,YELLOW,1,BOATS,FERRY,JUNK,TUG,YACHT,GREEN,2,SANDWICHES,CLUB,CUBAN,MELT,SUB,BLUE,3,CUTS OF BEEF,FLANK,LOIN,ROUND,SHANK,PURPLE,4,NICKNAMES THAT ARE VERBS,CHUCK,JOSH,ROB,SUE
34,2023 Jul 15,YELLOW,1,PLEASANT SMELLS,AROMA,BOUQUET,FRAGRANCE,SCENT,GREEN,2,MUSIC GENRES,BLUES,COUNTRY,FUNK,SOUL,BLUE,3,ROCK PAPER SCISSORS,PAPER,ROCK,SCISSORS,SHOOT,PURPLE,4,MALE ANIMALS,BOAR,BUCK,BULL,JACK
35,2023 Jul 16,YELLOW,1,U.S. COINS,DIME,NICKEL,PENNY,QUARTER,GREEN,2,METAL ELEMENTS,IRON,LEAD,TIN,ZINC,BLUE,3,LUCKY CHARMS MARSHMALLOWS,CLOVER,HORSESHOE,MOON,RAINBOW,PURPLE,4,___ AND ___,AGAIN,HALF,NECK,SO
36,2023 Jul 17,YELLOW,1,MARSUPIALS,KANGAROO,KOALA,WALLABY,WOMBAT,GREEN,2,CHOCOLATE BARS,CHUNKY,CRUNCH,MARS,MOUNDS,BLUE,3,SLANG FOR MONEY,CHEDDAR,DOUGH,PAPER,STACKS,PURPLE,4,NAKED ___,EYE,GUN,MOLE RAT,TRUTH
37,2023 Jul 18,YELLOW,1,MARINE MAMMALS,DOLPHIN,MANATEE,OTTER,SEAL,GREEN,2,BIKE PARTS,BRAKE,CHAIN,SADDLE,SPOKE,BLUE,3,SYNONYMS FOR SELL,HAWK,MOVE,PEDDLE,VEND,PURPLE,4,COUNTRIES WHEN "A" IS ADDED,CHIN,CUB,MALT,TONG
38,2023 Jul 19,YELLOW,1,TREES,ASH,CEDAR,MAPLE,PINE,GREEN,2,LAND FORMATIONS,HILL,MOUNTAIN,PLATEAU,VALLEY,BLUE,3,BAGEL FLAVORS,EVERYTHING,ONION,PLAIN,POPPY,PURPLE,4,STREETS ON SCREEN,ELM,FEAR,JUMP,SESAME
39,2023 Jul 20,YELLOW,1,TIMEKEEPING DEVICES,CLOCK,HOURGLASS,SUNDIAL,WATCH,GREEN,2,HAIRSTYLES,BOB,CROP,PIXIE,SHAG,BLUE,3,UNITS OF MEASURE,HERTZ,MOLE,NEWTON,SECOND,PURPLE,4,DR. ___,EVIL,J,NO,PEPPER
40,2023 Jul 21,YELLOW,1,WOODWINDS,BASSOON,CLARINET,FLUTE,OBOE,GREEN,2,COVERINGS,CAP,COVER,LID,TOP,BLUE,3,SUNGLASSES,AVIATOR,CAT EYE,WAYFARER,WRAPAROUND,PURPLE,4,SEALS,HARBOR,HARP,HOODED,MONK
41,2023 Jul 22,YELLOW,1,BOTTLED WATER BRANDS,DASANI,EVIAN,FIJI,VOSS,GREEN,2,SLANG FOR COFFEE,BREW,JAVA,JOE,MUD,BLUE,3,ISLAND COUNTRIES,CUBA,JAPAN,MALTA,PALAU,PURPLE,4,CEREAL MASCOTS,LUCKY,POP,SAM,TONY
42,2023 Jul 23,YELLOW,1,SCUBA GEAR,FINS,MASK,SNORKEL,TANK,GREEN,2,PUNCTUATION MARKS,COLON,COMMA,HYPHEN,PERIOD,BLUE,3,RUN QUICKLY,BOLT,DASH,RACE,SPRINT,PURPLE,4,___ CAT,DOJA,FAT,HOUSE,JUNGLE
43,2023 Jul 24,YELLOW,1,SYNONYMS FOR ANGRY,FURIOUS,INCENSED,IRATE,LIVID,GREEN,2,THINGS THAT ARE YELLOW,BANANA,CANARY,SCHOOL BUS,SUNFLOWER,BLUE,3,MARINE BIRDS,BOOBY,GULL,PELICAN,PUFFIN,PURPLE,4,___ BOYS,BEACH,BEASTIE,HARDY,LOST
44,2023 Jul 25,YELLOW,1,STATES OF MATTER,GAS,LIQUID,PLASMA,SOLID,GREEN,2,EDIT MENU COMMANDS,COPY,CUT,PASTE,UNDO,BLUE,3,DEFEAT BADLY,CRUSH,ROUT,SHELLAC,TRASH,PURPLE,4,ANAGRAMS,LEAST,SLATE,STALE,TESLA
45,2023 Jul 26,YELLOW,1,MODES OF TRANSPORTATION,BOAT,CAR,PLANE,TRAIN,GREEN,2,NBA PLAYERS,KING,MAGIC,SUN,THUNDER,BLUE,3,FAST FOOD CHAINS,CHECKERS,OUTBACK,SONIC,SUBWAY,PURPLE,4,BAND NAMES MINUS COLORS,DAY,FLOYD,SABBATH,STRIPES
46,2023 Jul 27,YELLOW,1,MOVIE TITLE CITIES,CHICAGO,MUNICH,PHILADELPHIA,RIO,GREEN,2,FASHION MAGAZINES,ALLURE,ELLE,GLAMOUR,W,BLUE,3,STORMS,BLIZZARD,CYCLONE,SQUALL,TORNADO,PURPLE,4,COCKTAILS,COSMOPOLITAN,HURRICANE,MANHATTAN,SCREWDRIVER
47,2023 Jul 28,YELLOW,1,BIOMES,DESERT,FOREST,GRASSLAND,TUNDRA,GREEN,2,LIZARDS,CHAMELEON,GECKO,IGUANA,MONITOR,BLUE,3,YOGA POSES,COBRA,LOTUS,TREE,WARRIOR,PURPLE,4,DANCES WHEN DOUBLED,CAN,CHA,GO,NAE
48,2023 Jul 29,YELLOW,1,FABRICS,CORDUROY,DENIM,LINEN,TWEED,GREEN,2,APPARITIONS,GHOST,PHANTOM,SPECTER,SPIRIT,BLUE,3,SYNONYMS FOR BOTHER,NEEDLE,POKE,RIB,TEASE,PURPLE,4,DISNEY CHARACTERS,BEAST,GENIE,SCAR,STITCH
49,2023 Jul 30,YELLOW,1,RELATIVES,AUNT,COUSIN,MOTHER,NEPHEW,GREEN,2,SYNONYMS FOR OFFBEAT,DAFFY,KOOKY,QUIRKY,WACKY,BLUE,3,DISNEY DUCKS,DAISY,DEWEY,DONALD,SCROOGE,PURPLE,4,___ CLOCK,ALARM,BIOLOGICAL,CUCKOO,GRANDFATHER
50,2023 Jul 31,YELLOW,1,UNITS OF LENGTH,FOOT,INCH,MILE,YARD,GREEN,2,TYPES OF PAINT,ACRYLIC,OIL,TEMPERA,WATERCOLOR,BLUE,3,DEEP-FRIED FOOD,FALAFEL,KATSU,SAMOSA,SCHNITZEL,PURPLE,4,STARTS OF U.S. COINS,DIM,NICK,PEN,QUART
51,2023 Aug 1,YELLOW,1,LONG SANDWICHES,HERO,HOAGIE,GRINDER,SUB,GREEN,2,DATING APPS,BUMBLE,HINGE,MATCH,TINDER,BLUE,3,VAMPIRE MOVIES,BLADE,LOST BOYS,NEAR DARK,TWILIGHT,PURPLE,4,ADAMS,ANT,DRIVER,SCOTT,WEST
52,2023 Aug 2,YELLOW,1,COMPUTER EQUIPMENT,KEYBOARD,MONITOR,MOUSE,SPEAKER,GREEN,2,RODENTS,GERBIL,HAMSTER,RAT,VOLE,BLUE,3,MUSICAL INSTRUMENTS,HARP,HORN,ORGAN,TRIANGLE,PURPLE,4,SYNONYMS FOR COMPLAIN,CARP,GRIPE,GROUSE,MOAN
53,2023 Aug 3,YELLOW,1,ANIMAL GROUP NAMES,COLONY,HERD,PRIDE,SWARM,GREEN,2,STONED,BAKED,BLAZED,HIGH,LIT,BLUE,3,AP CLASSES,BIO,CHEM,GOV,STATS,PURPLE,4,TAXONOMY RANKS,CLASS,DOMAIN,FAMILY,ORDER
54,2023 Aug 4,YELLOW,1,PLACES FOR WORSHIP,ALTAR,RELIQUARY,SHRINE,TEMPLE,GREEN,2,CARTOON CATS,FELIX,GARFIELD,SYLVESTER,TOM,BLUE,3,PRESIDENTIAL FIRST NAMES,CALVIN,CHESTER,GROVER,HARRY,PURPLE,4,___ ROAD,ABBEY,HIGH,ROCKY,SILK
55,2023 Aug 5,YELLOW,1,CLASSIC TOYS,BLOCKS,DOLL,TOP,YO-YO,GREEN,2,WORDS WITH THREE G'S,BAGGAGE,EGGNOG,GIGGLE,LEGGINGS,BLUE,3,SHAKESPEARE CHARACTERS,DUNCAN,JULIET,PUCK,VIOLA,PURPLE,4,___ STICK,FISH,HOCKEY,MEMORY,SELFIE
56,2023 Aug 6,YELLOW,1,CLASSIC ARCADE GAMES,ASTEROIDS,BREAKOUT,FROGGER,PONG,GREEN,2,DANCES,HUSTLE,SALSA,SWING,TANGO,BLUE,3,TOUCHSCREEN GESTURES,PINCH,SPREAD,SWIPE,TAP,PURPLE,4,RAPPERS MINUS NUMBERS,CENT,CHAINZ,PAC,SAVAGE
57,2023 Aug 7,YELLOW,1,MOVIE GENRES,HORROR,MUSICAL,ROMANCE,WESTERN,GREEN,2,PATTERNS,HOUNDSTOOTH,PAISLEY,PLAID,STRIPES,BLUE,3,SYNONYMS FOR FALSEHOOD,FIB,FICTION,LIE,TALE,PURPLE,4,CANDY PIECES,DOT,GOOBER,KISS,WHOPPER
58,2023 Aug 8,YELLOW,1,ARACHNIDS,MITE,SCORPION,SPIDER,TICK,GREEN,2,FISH,CHAR,EEL,PERCH,SHARK,BLUE,3,SUPERHEROES,BLACK WIDOW,BLADE,FLASH,STORM,PURPLE,4,MTV SHOWS,CATFISH,CRIBS,JACKASS,STATE
59,2023 Aug 9,YELLOW,1,UNSPECIFIED QUANTITIES,FEW,HANDFUL,SEVERAL,SOME,GREEN,2,CELESTIAL OBJECTS,ASTEROID,COMET,MOON,PLANET,BLUE,3,NEWSPAPERS,GLOBE,JOURNAL,POST,SUN,PURPLE,4,FRUIT HOMOPHONES,LYME,MELLON,PAIR,PLUMB
60,2023 Aug 10,YELLOW,1,HORROR FRANCHISES,PURGE,RING,SAW,SCREAM,GREEN,2,SPORTS VENUES,COURT,DIAMOND,FIELD,RINK,BLUE,3,MAKE HAPPY,CHARM,DELIGHT,PLEASE,TICKLE,PURPLE,4,JEWELRY,ANKLET,BANGLE,BROOCH,PENDANT
61,2023 Aug 11,YELLOW,1,THEORETICAL PHYSICISTS,EINSTEIN,FEYNMAN,HAWKING,OPPENHEIMER,GREEN,2,TALENT,FACULTY,FLAIR,GENIUS,GIFT,BLUE,3,AUSTRALIAN TERMS,BARBIE,BUSH,CRIKEY,MATE,PURPLE,4,___ POINT,MATCH,MOOT,SELLING,WEST
62,2023 Aug 12,YELLOW,1,STATE ABBREVIATIONS,CO,MA,ME,PA,GREEN,2,MUSICAL NOTES,DO,FA,LA,TI,BLUE,3,GREEK LETTERS,MU,NU,PI,XI,PURPLE,4,PERIODIC TABLE SYMBOLS,FE,HE,NA,NI
63,2023 Aug 13,YELLOW,1,FASTENING VERBS,BUCKLE,BUTTON,SNAP,ZIP,GREEN,2,SLANG FOR ZERO,JACK,NADA,NOTHING,SQUAT,BLUE,3,GYM EXERCISES,CURL,LUNGE,PLANK,PRESS,PURPLE,4,CAPTAINS,CRUNCH,KANGAROO,OBVIOUS,PLANET
64,2023 Aug 14,YELLOW,1,CLASSIC DOG NAMES,FIDO,LUCKY,ROVER,SPOT,GREEN,2,PERCEIVE,CATCH,NOTICE,OBSERVE,SEE,BLUE,3,FISHING TERMS,BAIT,CHUM,FLY,SINKER,PURPLE,4,T-___,BONE,REX,SHIRT,STORM
65,2023 Aug 15,YELLOW,1,STATES OF MATTER,GAS,LIQUID,PLASMA,SOLID,GREEN,2,ENERGY,JUICE,SPIRIT,STEAM,VIGOR,BLUE,3,CLASSICAL ELEMENTS,AIR,EARTH,FIRE,WATER,PURPLE,4,THINGS WITH RINGS,CIRCUS,SATURN,TREE,WEDDING
66,2023 Aug 16,YELLOW,1,TIME PERIODS,CENTURY,DECADE,MILLENNIUM,YEAR,GREEN,2,BREAKFAST FOODS,CEREAL,OMELET,PANCAKE,WAFFLE,BLUE,3,PAINTERS,BACON,CLOSE,MUNCH,WHISTLER,PURPLE,4,ONE IN A DOZEN,EGG,JUROR,MONTH,ROSE
67,2023 Aug 17,YELLOW,1,DESSERTS,CAKE,COBBLER,PIE,TART,GREEN,2,OCCUPATIONAL SURNAMES,FISHER,MASON,MILLER,SMITH,BLUE,3,ALTER DECEPTIVELY,DISTORT,DOCTOR,FUDGE,TWIST,PURPLE,4,SQUARE ___,DANCE,MEAL,ONE,ROOT
68,2023 Aug 18,YELLOW,1,UNITS OF VOLUME,CUP,GALLON,PINT,QUART,GREEN,2,EXTREMELY,AWFUL,QUITE,SUPER,VERY,BLUE,3,WORLD CURRENCIES,RAND,REAL,STERLING,WON,PURPLE,4,___ CAKE,CARROT,COFFEE,POUND,SPONGE
69,2023 Aug 19,YELLOW,1,FRIEND,BUD,CHUM,MATE,PAL,GREEN,2,COOKWEAR,CROCK,POT,SKILLET,WOK,BLUE,3,SHOES,CLOG,PUMP,SLIDE,WEDGE,PURPLE,4,SLANG FOR CANNABIS,GRASS,HERB,MARY JANE,WEED
70,2023 Aug 20,YELLOW,1,CAMPING SUPPLIES,COOLER,LANTERN,SLEEPING BAG,TENT,GREEN,2,INSULT,BARB,DIG,DISS,JAB,BLUE,3,TINY,MINUTE,SLIGHT,SMALL,WEE,PURPLE,4,HAPPY ___,CAMPER,HOUR,MEAL,MEDIUM
71,2023 Aug 21,YELLOW,1,U.S. MOUNTAIN STATES,ARIZONA,COLORADO,NEVADA,UTAH,GREEN,2,SODA BRANDS,CRUSH,MUG,SPRITE,SQUIRT,BLUE,3,CLASSIC ROCK BANDS,GENESIS,KANSAS,RUSH,YES,PURPLE,4,TONY ___,HAWK,MONTANA,SOPRANO,STARK
72,2023 Aug 22,YELLOW,1,PERFORMING ARTISTS,ACTOR,DANCER,SINGER,STAND-UP,GREEN,2,SANTA'S REINDEER,COMET,CUPID,DASHER,VIXEN,BLUE,3,SEEN ON VALENTINE'S DAY,CARD,CHOCOLATE,HEART,ROSE,PURPLE,4,BAD ___ MOVIES",BOYS,LIEUTENANT,SANTA,TASTE
73,2023 Aug 23,YELLOW,1,FACIAL HAIR,BEARD,GOATEE,MUSTACHE,STUBBLE,GREEN,2,BIKE PARTS,GEAR,HANDLEBAR,PEDAL,WHEEL,BLUE,3,PURSUE,DOG,FOLLOW,TAIL,TRACK,PURPLE,4,THINGS THAT ARE CAST,DOUBT,MOVIE,SHADOW,VOTE
74,2023 Aug 24,YELLOW,1,EXTINCT ANIMALS,DODO,MAMMOTH,MASTODON,TRILOBITE,GREEN,2,FAILURES,BUSTS,FLOPS,MISSES,TURKEYS,BLUE,3,SLANG FOR CLOTHES,DUDS,GETUP,OUTFIT,THREADS,PURPLE,4,KISS,PECK,SMACK,SMOOCH,X
75,2023 Aug 25,YELLOW,1,SOCIAL GATHERING,BASH,BLOWOUT,PARTY,SHINDIG,GREEN,2,FOUND IN A KITCHEN,COUNTER,MIXER,RANGE,SINK,BLUE,3,"PINOCCHIO" FIGURES,CRICKET,PUPPET,WHALE,WOODCARVER,PURPLE,4,EASTER ___,BUNNY,EGG,ISLAND,SUNDAY
76,2023 Aug 26,YELLOW,1,BOARD GAMES,RISK,SORRY,TABOO,TROUBLE,GREEN,2,NEWSPAPER SECTIONS,BUSINESS,NATIONAL,OPINION,STYLE,BLUE,3,FIGURES IN GREEK MYTH,ATLAS,HERMES,NIKE,PARIS,PURPLE,4,FIRST WORDS IN RAPPERS' NAMES,FOXY,GUCCI,KILLER,NOTORIOUS
77,2023 Aug 27,YELLOW,1,PIECES OF CHICKEN,BREAST,DRUMSTICK,TENDER,WING,GREEN,2,GOLF TERMS,DRIVER,EAGLE,HOLE,STROKE,BLUE,3,DRUM SET COMPONENTS,CYMBAL,KICK,SNARE,TOM,PURPLE,4,ASSOCIATED WITH "CRAWL",INFANT,PUB,SWIMMING,TICKER
78,2023 Aug 28,YELLOW,1,STATES OF ELATION,BLISS,CLOUD NINE,HEAVEN,PARADISE,GREEN,2,SCAM,CON,FAST ONE,HUSTLE,RACKET,BLUE,3,GREETING GESTURES,HIGH FIVE,HUG,SHAKE,WAVE,PURPLE,4,___ LIST,BUCKET,GUEST,TOP TEN,WISH
79,2023 Aug 29,YELLOW,1,DEPART QUICKLY,BOOK,BOUNCE,RUN,SPLIT,GREEN,2,ANIMALS THAT END WITH "X",FOX,IBEX,LYNX,ORYX,BLUE,3,SHADES OF BLACK,EBONY,JET,ONYX,RAVEN,PURPLE,4,WORDS BEFORE DAYS OF THE WEEK,ASH,BLACK,CYBER,FAT
80,2023 Aug 30,YELLOW,1,PLAYGROUND FIXTURES,SANDBOX,SEESAW,SLIDE,SWING,GREEN,2,INFLUENCE,CLOUT,PULL,SWAY,WEIGHT,BLUE,3,EGYPTIAN SYMBOLS,ANKH,CROOK,EYE,SCARAB,PURPLE,4,FONTS,COURIER,IMPACT,PAPYRUS,TIMES
